Title;Label
The Chronicles of the Loving World;0
Attack of the Mutant;1
Escape from the Ambitious Region;0
The Rise and Fall of the Shiny Reception;0
Dinotopia the World Beneath;1
The Abnormal World;0
Blood rites;1
Discussing the Consistent Throat;0
A Guide to Claiming the Cigarette;0
The Phantom Tollbooth;1
Eleven Minutes;1
Escape from the Former Throat;0
The Observant Gate;0
La solitudine dei numeri primi;1
Chronicles of Crooked Paper Kingdom;0
Reaper Man;1
Chronicles of Educated Concept Kingdom;0
Eric;1
Sphere;1
The prisoner in the opal;1
The Crooked Magazine;0
My Life as a Crooked Paper;0
Diary of a Wimpy Kid;1
The Chronicles of the Abnormal Gate;0
Senlin Ascends;1
Climate and the Flimsy Quest;0
Tom Sawyer Abroad;1
Journey to the Curious Jeep;0
Encyclopedia Brown Gets His Man;1
The Curse of the Elusive Microwave;0
The Viscount Who Loved Me;1
Cross Kill;1
The Last Vigorous Election;0
The Ground Beneath Her Feet;1
Memoirs of a Lucky Robot;0
Cowardly Throat: A Memoir;0
Maisie Dobbs (Maisie Dobbs #1);1
The Green Fairy Book (Large Print);1
The Flight of the Falcon;1
The Curse of the Omniscient Throat;0
Oceanic Mole: A Memoir;0
A Guide to Dominateing the Assumption;0
Escape from the Zonked Magazine;0
Escape from the Spotty Responsibility;0
Lord of the High Valley;1
Blackmailed Into Marriage;1
Masterminds;1
Diary of a Faithful Gate;0
The liar;1
Tales of a Juvenile King;0
Journey to the Unexpected Assumption;0
Neverseen;1
For One More Day;1
A Guide to Looking the Pizza;0
The Last Former Employer;0
Never Seduce a Scot;1
How to Resolve a Penguin;0
Memoirs of a Intriguing Instance;0
The Bride Test;1
The Rise and Fall of the Oceanic Energy;0
Foundation;1
How to Tame a Paper;0
Ranma 1/2;1
The Chalet School;1
Storm Over Mandargi;1
Tales of a Deafening Context;0
Shanna;1
The English Patient;1
Heretics of Dune;1
The Chronicles of the Lucky Dragon;0
A Blunt Instrument;1
My Life as a Consistent Engineering;0
Journey to the Ambitious Instance;0
A Reason for Marriage;1
History and the Friendly Quest;0
My Life as a Bent Paper;0
Ride the thunder;1
Haroun and the Sea of Stories;1
The tattooed soldier;1
Stay Out of the Basement;1
For One Night;1
Escape from the Invisible Spaceship;0
Aspettando L'Onda Gigante;1
My Life as a Fanatical Spaceship;0
Theodore Boone, The Abduction;1
Bittersweet Rain;1
Lirael Daughter of the Clayr;1
The Curse of the Zonked Recommendation;0
The spiffiest giant in town;1
Forgotten Lover;1
King Of Thorns;1
Memoirs of a Mysterious Concept;0
Handleing the Handy Penguin;0
The Last Cagey Death;0
The Rise and Fall of the Possessive Article;0
The Curse of the Military Mole;0
Aristides' Convenient Wife;1
Journey to the Omniscient Dragon;0
Journey to the Flying Recommendation;0
Vios ke Politia tou Alexi Zorba;1
The Chain of Destiny;1
The Chronicles of the Golden Reception;0
The Long Winter;1
Diary of a Bustling Magazine;0
The Ultimate Betrayal;1
The case of the velvet claws;1
The Chronicles of the Spotty Importance;0
How to Drift a Microwave;0
The Bent Security;0
The Legend of the Fanatical World;0
The Rise and Fall of the Roomy Ability;0
The Dark Wind;1
Growing the Quirky Version;0
The Chronicles of the Purring Instance;0
Marathon Man;1
Escape from the Zonked Robot;0
The Curse of the Bustling Steak;0
Beneficial Length: A Memoir;0
The Ring of Solomon;1
Tales of a Intriguing Software;0
The Mystery of the Secret Room;1
My Life as a Juvenile King;0
The crimson circle;1
Black house;1
The Rise and Fall of the Triumphant Phone;0
A Guide to Selecting the Mole;0
The Last Twisted Reception;0
My Life as a Quirky Robot;0
My Life as a Golden Foundation;0
Cowardly Affair: A Memoir;0
The  stories of John Cheever;1
Eragon & Eldest;1
