Title;Author;ISBN;PublishYear;Publisher;Genre;Label
What Katy Did;Susan Coolidge;9781781392621;1873;Heirloom Library;fiction;1
Modesty Blaise;O'Donnell, Peter;9781845764203;1965;Rowohlt;thriller;1
Thuvia, Maid of Mars;Edgar Rice Burroughs;9798538768363;1916;A.C. McClurg & Co.;fiction;1
The Chronicles of the Flying King;Lela Mann;8970235911937;2006;San qin chu ban she;romance;0
Escape from the Wasteful Magazine;Memphis Hayes;4411082100352;1957;Goldmann;fantasy;0
The Silkworm;J. K. Rowling;9782246810667;2014;Grasset;mystery;1
The Lord of the Rings;J.R.R. Tolkien;8071456063;1954;Unwin Hyman;fiction;1
The Alchemist;Paulo Coelho;9789602366493;1988;Turtleback Books Distributed by Demco Media;fiction;1
The Last Golden Microwave;Archie Drake;7138947828871;1928;William Collins;fiction;0
The Talented Mr. Ripley;Patricia Highsmith;9780099282877;1955;Koch, Neff & Oetinger & Co;thriller;1
The Secret of the Security;Elias Gibson;2838734242185;1915;Greyhound Press;mystery;0
Vingt mille lieues sous les mers;Jules Verne;1562549510;1870;MacGibbon and Kee;fantasy;1
My Life as a Invisible Jeep;Talia Joseph;5573346722878;1921;Naxos of America;fiction;0
Journey to the Perfect Assumption;Seth Moran;7005974622609;1910;HarperCollins UK Audio;fiction;0
The Secret of the Energy;Kiana Pace;6512446453680;2004;Harper & Brothers, Publishers;mystery;0
Inner King: A Memoir;Tyson Wood;2922874825840;1935;Sov. Rossiya;romance;0
Romeo and Juliet;William Shakespeare;0497900475;1597;CBC Enterprises/Les Enterprises Radio-Canada;fiction;1
The Amazing Wizard;Annalise Robles;7466718039670;2021;Espasa Calpe Mexicana, S.A.;fiction;0
Dr. Nikola's Experiment;Guy Boothby;1095352954;1981;Independently published;fantasy;1
Dead Sleep;Greg Iles;1593556780;2001;Brilliance Audio on CD Unabridged Lib Ed;thriller;1
The Quiet Professor;Betty Neels;1459230590;1992;Harlequin Enterprises, Limited;romance;1
The Last Flimsy Dragon;Aliza Boyle;3095534938705;1985;Hua cheng chu ban she;mystery;0
Diary of a Wacky Gate;Noor Dawson;4116195261833;1950;Penguin Group USA, Inc.;fiction;0
A Guide to Communicateing the Employer;Aileen Durham;6938172555619;1903;Legendary Planet;mystery;0
Doce cuentos peregrinos;Gabriel García Márquez;9789571312576;1992;FISCHER Taschenbuch;fiction;1
The Target;Catherine Coulter;1567400515;1998;Bookcassette;thriller;1
Triumphant Climate: A Memoir;Maxton Rosario;8034670973492;1950;Longseller;fantasy;0
Beneficial Election: A Memoir;Miles Valdez;4651285469169;1929;Colonial Press/Thomas Nelson & Sons;fantasy;0
Okewood of the Secret Service;Valentine Williams;9781523712595;1919;General Books LLC;thriller;1
The Chronicles of the Amazing Assumption;Denver Foley;2039633508690;1957;Ann Arbor Media Group;thriller;0
Written in the Stars;Alexandria Bellefleur;9780063000810;2020;HarperCollins B and Blackstone Publishing;romance;1
My Life as a Dancing Farmer;Emmeline Kelly;4787151727442;2021;Berkley Pub.;fiction;0
Of blood and bone;Nora Roberts;1250122996;2018;Piatkus;romance;1
Voyager;Diana Gabaldon;0385658699;1994;Delta;romance;1
The Curse of the Innate Disk;Tobias McCarty;8101487205566;1951;The Reilly & Britton;fiction;0
The Curse of the Tenuous Death;Bridger Cordova;2651412605945;1982;Perigree;fiction;0
They Came to Baghdad;Agatha Christie;9782846343855;1951;Dell Publishing;thriller;1
How to Follow a Desk;Zoey Weiss;2759771271167;1919;S. Fischer;fiction;0
Pattern Recognition;William Gibson;0641621248;2002;Klett-Cotta Verlag;mystery;1
Tales of a Golden Employer;August Potts;3227821560592;1968;Libraire des Champs-Élysées;mystery;0
Charlie Bone and the time twister;Jenny Nimmo;9781480621466;2002;Egmont Books, Limited;fantasy;1
The Comfort of Strangers;Ian McEwan;9780754048053;1981;Diogenes Verlag;thriller;1
Chasing Vermeer;Blue Balliett;0439372941;2003;Tian xia yuan jian chu ban gu fen you xian gong si;mystery;1
The Legend of the Shiny Software;Harold Donovan;3347404156790;1918;Chouette Publishing;fantasy;0
Diary of a Beneficial Dragon;Georgia Hurley;9841600050564;1991;Conard;fantasy;0
